name,latitude,longitude,population,color
Excelsior,37.7244,-122.421,0.083884,#E41A1C
Crocker Amazon,37.7107,-122.4372,0.058439,#FFFF33
Marina,37.8021,-122.4369,0.40364,#FF7F00
Nob Hill,37.793,-122.416,0.33259,#FF7F00
North Beach,37.8045,-122.4076,0.28784,#FF7F00
Pacific Heights,37.7924,-122.4352,0.33382,#FF7F00
Presidio Heights,37.7868,-122.4538,0.19965,#FF7F00
Russian Hill,37.8014,-122.4182,0.34165,#FF7F00
Visitacion Valley,37.7144,-122.4113,0.064774,#999999
Diamond Heights,37.7423,-122.4423,0.074148,#984EA3
Glen Park,37.7378,-122.4316,0.1226,#984EA3
Inner Sunset,37.7584,-122.4654,0.18995,#984EA3
Lakeshore,37.7225,-122.4885,0.092602,#984EA3
Outer Mission,37.7239,-122.4439,0.10242,#984EA3
West Of Twin Peaks,37.7373,-122.4589,0.12473,#984EA3
Bayview,37.73,-122.3855,0.10309,#377EB8
Bernal Heights,37.7399,-122.4169,0.20043,#377EB8
Castro,37.7624,-122.4348,0.34092,#377EB8
Haight,37.7692,-122.4463,0.29559,#377EB8
Mission,37.7589,-122.4153,0.42583,#377EB8
Noe,37.7493,-122.433,0.25158,#377EB8
Parkside,37.7411,-122.4892,0.092271,#377EB8
Potrero,37.7583,-122.393,0.26353,#377EB8
South Of Market,37.7764,-122.3994,0.55316,#377EB8
Twin Peaks,37.752,-122.45,0.13105,#377EB8
Western Addition,37.7804,-122.4332,0.41192,#377EB8
Inner Richmond,37.7802,-122.4652,0.21194,#4DAF4A
Outer Richmond,37.778,-122.4928,0.18916,#4DAF4A
Outer Sunset,37.7553,-122.4938,0.12363,#4DAF4A
Seacliff,37.7841,-122.5009,0.091937,#4DAF4A
Golden Gate Park,37.7689,-122.4828,0.15941,#4DAF4A
Chinatown,37.7941,-122.407,0.24273,#F781BF
Downtown,37.7835,-122.4158,0.44235,#F781BF
Financial District,37.7915,-122.3988,0.49915,#F781BF
Ocean View,37.7178,-122.4622,0.076638,#A65628
